.notdef,
.null,
A,0041
AE,00C6
Aacute,00C1
Acircumflex,00C2
Adieresis,00C4
Agrave,00C0
Aring,00C5
Atilde,00C3
B,0042
C,0043
CR,
Ccedilla,00C7
D,0044
E,0045
Eacute,00C9
Ecircumflex,00CA
Edieresis,00CB
Egrave,00C8
Eth,00D0
Euro,20AC
F,0046
G,0047
H,0048
I,0049
Iacute,00CD
Icircumflex,00CE
Idieresis,00CF
Igrave,00CC
J,004A
K,004B
KrungSpecial,
L,004C
M,004D
N,004E
Ntilde,00D1
O,004F
OE,0152
Oacute,00D3
Ocircumflex,00D4
Odieresis,00D6
Ograve,00D2
Oslash,00D8
Otilde,00D5
P,0050
Q,0051
R,0052
S,0053
Scaron,0160
T,0054
Thorn,00DE
U,0055
Uacute,00DA
Ucircumflex,00DB
Udieresis,00DC
Ugrave,00D9
V,0056
W,0057
X,0058
Y,0059
Yacute,00DD
Ydieresis,0178
Ygrave,1EF2
Z,005A
Zcaron,017D
a,0061
aacute,00E1
acircumflex,00E2
acute,00B4
adieresis,00E4
ae,00E6
agrave,00E0
ampersand,0026
approxequal,2248
aring,00E5
asciicircum,005E
asciitilde,007E
asterisk,002A
at,0040
atilde,00E3
b,0062
backslash,005C
bar,007C
beta,03B2
braceleft,007B
braceright,007D
bracketleft,005B
bracketright,005D
brokenbar,00A6
bullet,2022
c,0063
ccedilla,00E7
cedilla,00B8
cent,00A2
chi,03C7
circumflex,02C6
colon,003A
comma,002C
copyright,00A9
currency,00A4
d,0064
dagger,2020
daggerdbl,2021
degree,00B0
dieresis,00A8
divide,00F7
dollar,0024
dotlessi,0131
e,0065
eacute,00E9
ecircumflex,00EA
edieresis,00EB
egrave,00E8
eight,0038
ellipsis,2026
emdash,2014
endash,2013
eng,014B
equal,003D
eth,00F0
exclam,0021
exclamdown,00A1
f,0066
fi,FB01
five,0035
fl,FB02
florin,0192
four,0034
fraction,2044
g,0067
germandbls,00DF
grave,0060
greater,003E
greaterequal,2265
guillemotleft,00AB
guillemotright,00BB
guilsinglleft,2039
guilsinglright,203A
h,0068
hbar,0127
hyphen,
hyphen.demo,
i,0069
i.dotless,
iacute,00ED
icircumflex,00EE
idieresis,00EF
igrave,00EC
infinity,221E
integral,222B
j,006A
j.dotless,
k,006B
l,006C
less,003C
lessequal,2264
logicalnot,00AC
lozenge,25CA
m,006D
macron,
minus,2212
multiply,00D7
n,006E
nine,0039
notequal,2260
ntilde,00F1
numbersign,0023
o,006F
oacute,00F3
ocircumflex,00F4
odieresis,00F6
oe,0153
ograve,00F2
one,0031
onehalf,00BD
onequarter,00BC
ordfeminine,00AA
ordmasculine,00BA
oslash,00F8
otilde,00F5
p,0070
paragraph,00B6
parenleft,0028
parenright,0029
partialdiff,2202
percent,0025
period,002E
periodcentered,
perthousand,2030
pi,03C0
plus,002B
plusminus,00B1
product,220F
q,0071
question,003F
questiondown,00BF
quotedbl,0022
quotedblbase,201E
quotedblleft,201C
quotedblright,201D
quoteleft,2018
quoteright,2019
quotesinglbase,201A
quotesingle,0027
r,0072
radical,221A
registered,00AE
s,0073
scaron,0161
section,00A7
semicolon,
seven,0037
six,0036
slash,002F
space,
space.demo,
sterling,00A3
summation,2211
t,0074
theta,03B8
thorn,00FE
three,0033
threequarters,00BE
tilde,02DC
trademark,2122
two,0032
u,0075
uacute,00FA
ucircumflex,00FB
udieresis,00FC
ugrave,00F9
underscore,005F
uni0020.showinv,
uni00CA0306,
uni00D40306,
uni00EA0306,
uni00F40306,
uni0102,0102
uni0103,0103
uni010C,010C
uni010D,010D
uni0110,0110
uni0111,0111
uni0114,0114
uni0115,0115
uni0128,0128
uni0129,0129
uni012C,012C
uni012D,012D
uni014E,014E
uni014F,014F
uni0168,0168
uni0169,0169
uni016C,016C
uni016D,016D
uni0180,0180
uni01A0,01A0
uni01A00306,
uni01A1,01A1
uni01A10306,
uni01AF,01AF
uni01AF0306,
uni01B0,01B0
uni01B00306,
uni01C0,01C0
uni01C1,01C1
uni01C2,01C2
uni01C3,01C3
uni0212,0212
uni0213,0213
uni0243,0243
uni0244,0244
uni0248,0248
uni0249,0249
uni024E,024E
uni024F,024F
uni0250,0250
uni0251,0251
uni0252,0252
uni0253,0253
uni0254,0254
uni0255,0255
uni0256,0256
uni0257,0257
uni0258,0258
uni0259,0259
uni025A,025A
uni025B,025B
uni025C,025C
uni025D,025D
uni025E,025E
uni025F,025F
uni0260,0260
uni0261,0261
uni0262,0262
uni0263,0263
uni0264,0264
uni0265,0265
uni0266,0266
uni0267,0267
uni0268,0268
uni0268.dotless,
uni0269,0269
uni026A,026A
uni026B,026B
uni026C,026C
uni026D,026D
uni026E,026E
uni026F,026F
uni0270,0270
uni0271,0271
uni0272,0272
uni0273,0273
uni0274,0274
uni0275,0275
uni0276,0276
uni0277,0277
uni0278,0278
uni0279,0279
uni027A,027A
uni027B,027B
uni027C,027C
uni027D,027D
uni027E,027E
uni027F,027F
uni0280,0280
uni0281,0281
uni0282,0282
uni0283,0283
uni0284,0284
uni0288,0288
uni0289,0289
uni028A,028A
uni028B,028B
uni028C,028C
uni028D,028D
uni028E,028E
uni028F,028F
uni0290,0290
uni0291,0291
uni0292,0292
uni0293,0293
uni0294,0294
uni0295,0295
uni0296,0296
uni0297,0297
uni0298,0298
uni0299,0299
uni029A,029A
uni029B,029B
uni029C,029C
uni029D,029D
uni029E,029E
uni029F,029F
uni02A0,02A0
uni02A1,02A1
uni02A2,02A2
uni02B0,02B0
uni02B2,02B2
uni02B7,02B7
uni02B8,02B8
uni02BC,02BC
uni02C0,02C0
uni02C7,02C7
uni02C8,02C8
uni02CC,02CC
uni02D0,02D0
uni02D1,02D1
uni02D8,02D8
uni02D9,02D9
uni02DA,02DA
uni02DB,02DB
uni02DD,02DD
uni02E0,02E0
uni02E1,02E1
uni02E4,
uni0300,0300
uni0301,0301
uni0302,0302
uni03020306,
uni0303,0303
uni0304,0304
uni0305,0305
uni0306,0306
uni0306.high,
uni0307,0307
uni0308,0308
uni0309,0309
uni030A,030A
uni030B,030B
uni030C,030C
uni0318,0318
uni0319,0319
uni031A,031A
uni031B,031B
uni031C,031C
