CR,nonmarkingreturn
uni2011,nonbreakinghyphen
uni02C7,caron
uni02D8,breve
uni02D9,dotaccent
uni02DA,ring
uni02DB,ogonek
uni02DD,hungarumlaut
uni0300,gravecomb
uni0301,acutecomb
uni0302,circumflexcomb
uni0303,tildecomb
uni0308,dieresiscomb
uni030A,ringcomb
uni030C,caroncomb
uni0327,cedillacomb
uni2002,enspace
uni2003,emspace
uni2004,threeperemspace
uni2005,fourperemspace
uni2006,sixperemspace
uni2008,punctuationspace
uni2009,thinspace
uni200A,hairspace
uni200B,zerowidthspace
uni200C,zerowidthnonjoiner
uni200D,zerowidthjoiner
uni25CC,dottedcircle
uni2015,horizontalbar
uni2007,figurespace
uni2012,figuredash
